subj_id,inclusion,block,trial,task,alpha,angle_sigma,orientation,stimulus,response,accuracy,response_time,confidence,increase_presses,decrease_presses,BOLD_rTPJ,BOLD_pMFC,BOLD_FPm,BOLD_FPl,BOLD_preSMA,BOLD_vmPFC
01LeEm,0,1,153,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.91568449999977,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,154,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,1.03493949999938,4,4,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,155,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,1.48354749999999,3,0,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,156,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.782976200000121,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,157,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.912989299999936,5,2,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,158,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.868263800000022,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,159,Discrimination,0.0477987293703271,7.01486765864282,-45,0,1,0,1.13469950000035,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,160,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.984368299999915,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,161,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,1.50033780000012,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,162,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.881458500000008,5,4,0,NaN,NaN,NaN,NaN,NaN,NaN
